,aes,consumption,consumptiongaespump,gesgaes,hour,tec,tes,vde,Дата
0,10728,20586,0,1809,01:00,2016,8892,50,01.01.2014
1,10606,19665,0,863,02:00,2014,8885,49,01.01.2014
2,10515,19107,0,355,03:00,2022,8731,54,01.01.2014
3,10475,18453,0,185,04:00,2014,8369,42,01.01.2014
4,10427,18072,-488,274,05:00,2009,8355,49,01.01.2014
5,10473,17911,-707,434,06:00,2013,8201,55,01.01.2014
6,10469,17565,-707,193,07:00,2013,8202,55,01.01.2014
7,10493,17480,-703,72,08:00,2013,8179,54,01.01.2014
8,10479,18276,-480,557,09:00,2017,8233,113,01.01.2014
9,10455,19014,-88,862,10:00,2020,8303,118,01.01.2014
10,10463,19898,0,998,11:00,2110,8924,186,01.01.2014
11,10479,20325,0,1319,12:00,2099,9039,206,01.01.2014
12,10452,20406,0,1319,13:00,2109,9105,181,01.01.2014
13,10443,20506,0,695,14:00,2097,9659,167,01.01.2014
14,10470,20640,0,824,15:00,2089,9683,136,01.01.2014
15,10445,21383,0,1389,16:00,2099,9988,152,01.01.2014
16,10429,22506,0,2408,17:00,2107,10176,155,01.01.2014
17,10450,22545,0,2637,18:00,2101,10136,143,01.01.2014
18,10452,22342,0,2583,19:00,2101,9684,141,01.01.2014
19,10482,22126,0,2346,20:00,2108,9722,138,01.01.2014
20,10458,21858,0,2095,21:00,2108,9636,134,01.01.2014
21,10475,21454,0,2161,22:00,2111,9355,134,01.01.2014
22,10461,20411,0,1554,23:00,2103,8899,130,01.01.2014
23,10447,19573,0,1162,24,2098,8420,130,01.01.2014
0,10447,19573,0,1162,00:00,2098,8420,130,02.01.2014
1,10463,18556,-492,356,01:00,2013,8515,138,02.01.2014
2,10482,17946,-488,399,02:00,2003,7967,132,02.01.2014
3,10444,17556,-707,278,03:00,2004,7881,128,02.01.2014
4,10490,17636,-703,222,04:00,1998,7860,145,02.01.2014
5,10467,17756,-699,391,05:00,2004,7890,142,02.01.2014
6,10473,18283,0,225,06:00,2003,7977,143,02.01.2014
7,10483,18771,0,170,07:00,2090,8618,144,02.01.2014
8,10451,19464,0,615,08:00,2103,8848,121,02.01.2014
9,10479,20806,0,963,09:00,2104,9910,132,02.01.2014
10,10455,21844,0,944,10:00,2105,10934,144,02.01.2014
11,10481,22679,0,1331,11:00,2098,11275,221,02.01.2014
12,10485,22749,0,1162,12:00,2104,11566,222,02.01.2014
13,10488,22555,0,831,13:00,2102,11850,211,02.01.2014
14,10491,22744,0,923,14:00,2092,11828,197,02.01.2014
15,10461,22669,0,1072,15:00,2086,11830,155,02.01.2014
16,10443,23469,0,1677,16:00,2086,11847,146,02.01.2014
17,10438,24447,0,2733,17:00,2108,11915,140,02.01.2014
18,10442,24314,0,2724,18:00,2110,11838,140,02.01.2014
19,10481,24027,0,2794,19:00,2109,11264,141,02.01.2014
20,10474,23535,0,2471,20:00,2109,11033,142,02.01.2014
21,10511,23172,0,2091,21:00,2115,11016,86,02.01.2014
22,10468,22685,0,2058,22:00,2109,10860,83,02.01.2014
23,10487,21388,0,1656,23:00,2107,9918,84,02.01.2014
24,10480,20345,-92,850,24,2100,9747,84,02.01.2014
0,10480,20345,-92,850,00:00,2100,9747,84,03.01.2014
1,10413,19311,-492,400,01:00,2018,9522,79,03.01.2014
2,10312,18516,-488,80,02:00,2013,9098,79,03.01.2014
3,10189,18232,-707,493,03:00,2010,8586,76,03.01.2014
4,10269,18125,-703,545,04:00,2010,8569,76,03.01.2014
5,10332,18334,-611,380,05:00,2004,8686,75,03.01.2014
6,10304,18977,0,197,06:00,2009,8925,75,03.01.2014
7,10315,19596,0,257,07:00,2091,9537,104,03.01.2014
8,10304,20371,0,246,08:00,2096,10427,108,03.01.2014
9,10319,21768,0,826,09:00,2100,10973,127,03.01.2014
10,10374,22614,0,1185,10:00,2098,11585,168,03.01.2014
11,10670,23241,0,1309,11:00,2096,11858,175,03.01.2014
12,10670,23316,0,1290,12:00,2096,12031,175,03.01.2014
13,10749,23326,0,1124,13:00,2096,12069,175,03.01.2014
14,10726,23173,0,1132,14:00,2094,12095,136,03.01.2014
15,10747,23230,0,1362,15:00,2102,11812,101,03.01.2014
16,10726,23850,0,1804,16:00,2103,11797,82,03.01.2014
17,10752,24954,0,3017,17:00,2098,11810,77,03.01.2014
18,10768,24979,0,3077,18:00,2095,11798,98,03.01.2014
19,10819,24572,0,2617,19:00,2100,11780,100,03.01.2014
20,10843,23936,0,2074,20:00,2106,11503,100,03.01.2014
21,10782,23582,0,1908,21:00,2108,11497,80,03.01.2014
22,10799,23039,0,2242,22:00,2098,10765,80,03.01.2014
23,10842,21749,0,1547,23:00,2103,10194,79,03.01.2014
24,10743,20766,-92,911,24,2098,9651,79,03.01.2014
0,10743,20766,-92,911,00:00,2098,9651,79,04.01.2014
1,10583,19378,0,842,01:00,1989,8577,20,04.01.2014
2,10572,18677,-492,87,02:00,1986,9135,19,04.01.2014
3,10587,18495,-705,87,03:00,1988,9190,21,04.01.2014
4,10596,18318,-703,64,04:00,1986,8777,11,04.01.2014
5,10586,18491,-699,296,05:00,1990,8664,10,04.01.2014
6,10580,18874,-480,488,06:00,1984,8718,11,04.01.2014
7,10568,19427,0,278,07:00,2089,9057,12,04.01.2014
8,10561,20050,0,410,08:00,2084,9519,20,04.01.2014
9,10599,21380,0,1383,09:00,2086,10139,46,04.01.2014
10,10591,22351,0,1329,10:00,2086,11025,79,04.01.2014
11,10577,23080,0,1835,11:00,2084,11234,101,04.01.2014
12,10611,23077,0,1823,12:00,2084,11291,70,04.01.2014
13,10559,23033,0,1728,13:00,2077,11474,51,04.01.2014
14,10601,23114,0,1407,14:00,2092,11817,45,04.01.2014
15,10606,23136,0,1461,15:00,2093,11835,25,04.01.2014
16,10579,23782,0,1843,16:00,2085,11903,11,04.01.2014
17,10591,25002,0,3037,17:00,2089,12057,7,04.01.2014
18,10587,25068,0,3144,18:00,2089,12065,11,04.01.2014
